,category,headline,authors,link,short_description,date
18,STYLE,Paisley Is Making A Comeback,"Michael Kleinmann, ContributorEditor-in-Chief, The Underwear Expert",https://www.huffingtonpost.com/entry/paisley-is-making-a-comeb_b_6024010.html,"Flashback to the '70s of passé shag rugs, big hair, and loud paisley prints. That's right, those busy patterned ties you remember your grandfather always wearing have trickled down to skivvies as the hottest trend in men's underwear right now.",2014-10-28
19,POLITICS,Even Clinton's Power Rangers Connection Suggests A 2016 Run,James Cave,https://www.huffingtonpost.com/entry/clinton-haim-saban-birthday-party_n_6006436.html,,2014-10-18
20,POLITICS,Mike Huckabee Thinks He Knows The Constitution Better Than The Supreme Court,Cristian Farias,https://www.huffingtonpost.com/entry/mike-huckabee-constitution_us_55ef46ede4b093be51bc95d6,But he can't even remember his own state's dark history.,2015-09-09
21,POLITICS,Boycott the White House: The Pathway to Citizenship Begins With Self-Representation,"Prerna Lal, ContributorImmigration Attorney",https://www.huffingtonpost.com/entry/boycott-the-white-house-t_b_5628048.html,"This week, grassroots leaders from the immigrant rights movement went to several D.C. organizations with a simple request: Stop negotiating with the White House on behalf of directly impacted immigrant communities.",2014-07-29
22,POLITICS,Waiting For A Grown-Up In The White House,"Michael Winship, ContributorFormer senior writer, BillMoyers.com. President, Writers Guild...",https://www.huffingtonpost.com/entry/waiting-for-a-grown-up-in-the-white-house_us_59949cd0e4b00dd984e37bce,Donald Trump is turning the presidency into a day care center for his troubled inner child.,2017-08-16
23,POLITICS,This Jared Kushner-Backed Bill Could Be 2018's Last Shot At Federal Prison Reform,Ryan J. Reilly,https://www.huffingtonpost.com/entry/kushner-criminal-justice-bill_us_5af0a4bee4b0c4f1932576c2,"The president's son-in-law has been a ""driving force"" of the legislation, which focuses on the re-entry of federal prisoners. Many say it doesn't go far enough.",2018-05-08
24,STYLE,9 Emotions Every Messy Person Feels While Cleaning Their Room,Jamie Feldman,https://www.huffingtonpost.com/entry/emotions-cleaning-your-room-the-struggle_n_7173780.html,,2015-04-30
25,POLITICS,Maine Voters Hope To Restore Their Revolutionary Election System,Paul Blumenthal,https://www.huffingtonpost.com/entry/maine-campaign-finance-reform_us_55e8bf3be4b093be51bafa2e,"Until a few years ago, teachers, waitresses and firefighters could run for office in Maine -- and win.",2015-09-04
26,STYLE,"Kylie Jenner Launches A New Eyeshadow, Gets One Step Closer To World Domination",Jamie Feldman,https://www.huffingtonpost.com/entry/kylie-jenner-eyeshadow-kyshadow_us_579757e2e4b01180b53021d1,"Introducing ""Kyshadow.""",2016-07-26
27,POLITICS,Bernie Sanders Wins Idaho Democratic Caucus,Jennifer Bendery,https://www.huffingtonpost.com/entry/bernie-sanders-wins-idaho-caucus_us_56f027bbe4b03a640a6b220e,"His path to the nomination remains very, very narrow.",2016-03-23
28,POLITICS,Obama Administration Accused Of Violating Constitutional Rights Of Immigrant Detainees,Elise Foley,https://www.huffingtonpost.com/entry/obama-immigrant-detention_us_55faff0ae4b08820d917bebd,A new report says conditions in immigrant detention centers are similar to those in prisons.,2015-09-17
29,POLITICS,Outside Money Surge Makes Kansas Senate Race Costliest In State History,Paul Blumenthal,https://www.huffingtonpost.com/entry/kansas-senate-money_n_6044524.html,,2014-10-25
30,POLITICS,"News Roundup for August 4, 2017","Outspeak, ContributorOutspeak™ is the opinion outlet for digital storytellers every...",https://www.huffingtonpost.com/entry/news-roundup-for-august-4-2017_us_59849f25e4b0f2c7d93f553c,Here’s some depressing news as you head into the weekend. 1. Trump’s private phone calls with Mexico’s President Nieto and,2017-08-04
31,POLITICS,Harvey Weinstein's Audio Is The Horrifying Sequel To Trump's 'Access Hollywood' Tape,Marina Fang,https://www.huffingtonpost.com/entry/harvey-weinstein-donald-trump-sequel_us_59dcea8be4b0a8e1367f1bae,"“When you’re a star, they let you do it. You can do anything.”",2017-10-10
32,POLITICS,Here's What Could Happen If We Actually Funded Gun Violence Research,"Sandro Galea | Dean, School of Public Health, Boston University, The Conversation",https://www.huffingtonpost.com/entry/gun-violence-research_us_566f46f4e4b0fccee16f92e6,"It seems that not a week passes without a new report of a mass shooting in the United States. The gun epidemic, long simmering",2015-12-18
33,STYLE,Gigi Hadid Sports A Faux Bob At The American Music Awards,Jamie Feldman,https://www.huffingtonpost.com/entry/gigi-hadid-american-music-awards-dress-bob_us_5652554de4b0879a5b0b6dde,"""You can check back tomorrow to see if I still have short hair.""",2015-11-23
34,POLITICS,Top Democrats Want Answers On Global Health Security Head's Sudden Departure,Lauren Weber,https://www.huffingtonpost.com/entry/elizabeth-warren-patty-murray-trump-global-health-adviser_us_5afe3278e4b07309e05659e2,"“The threat of a pandemic is serious, and it’s important families know we have a vigilant and experienced team in place.”",2018-05-18
35,STYLE,"Fashion's Diversity Report Is In, And We've Still Got A Lot Of Work To Do",Jamie Feldman,https://www.huffingtonpost.com/entry/diversity-report-spring-2016-ads_us_572b9b7ae4b096e9f090ace2,We need more Aeries in the world.,2016-05-06
36,POLITICS,Trump Sets Obstruction Of Justice Terms: It’s His Credibility Against Comey’s,S.V. Date,https://www.huffingtonpost.com/entry/trump-comey-liar_us_593b0c09e4b0b13f2c6a82d3,Trump long history of falsehoods against Comey’s boy scout reputation.,2017-06-09
37,POLITICS,The Fight To Bring Transparency To California’s Charter Schools,"Joel Warner, Capital & Main",https://www.huffingtonpost.com/entry/california-charter-schools_us_57d81725e4b0aa4b722c723b,Activists want charters to be held to the same accountability standards as traditional public schools.,2016-09-13
38,POLITICS,Stocks Tumble As Trump Announces Tariff On Steel And Aluminum Imports,,https://www.huffingtonpost.com/entry/dow-falls-tariffs_us_5a98504de4b0479c0250748a,"NEW YORK, March 1 (Reuters) - A gauge of global equity performance tumbled and the dollar strengthened against the Canadian",2018-03-01
39,POLITICS,Journalists Should Stop Highlighting Individual Polls And Focus On Polling Averages,"Ozan Kuru, Josh Pasek, and Michael Traugott, Contributors",https://www.huffingtonpost.com/entry/journalists-polling-averages_us_59dbaa19e4b0b34afa5b37a7,Readers are far less likely to dismiss these results on partisan grounds.,2017-10-09
40,POLITICS,An Un-Civil War Brewing: We Are Being Pitted Against Each Other,"Seth Davin Norrholm, PhD, ContributorTranslational Neuroscientist/Psychologist",https://www.huffingtonpost.com/entry/why-we-should-all-be-pulling-for-congressman-steve_us_596a89d1e4b022bb9372b237,"In addition, the executive vice president and CEO of the NRA identified the academic, political, and media elite to be America’s",2017-07-15
41,POLITICS,White House Mulls Adopting Bush-Era Tolerance Of Torture,,https://www.huffingtonpost.com/entry/obama-could-reaffirm-a-bu_n_6008990.html,,2014-10-18
42,POLITICS,"As Trump Unravels, So Do Fox News' Ratings","Eric Boehlert, ContributorSenior Fellow, Media Matters for America",https://www.huffingtonpost.com/entry/as-trump-unravels-so-do-fox-news-ratings_us_592325ebe4b0e8f558bb28bd,"When Fox News architect Roger Ailes died last Thursday, one of the common threads through the coverage of his career was",2017-05-22
43,POLITICS,How To Lose Your 'Presidential Pivot' In Seven Days,Jason Linkins,https://www.huffingtonpost.com/entry/remember-the-trump-pivot_us_58c069cce4b0ed7182698c38,"A week ago, the media praised Donald Trump for being a changed man. He spent the next seven days changing back.",2017-03-08
44,STYLE,Pump Up Your Style: Fashion By Bravo,"Shira Hirschman Weiss, ContributorWriter, Blogger, Regular contributor to local newpapers in Ber...",https://www.huffingtonpost.com/entry/pump-up-your-style-fashio_b_6207288.html,"I am a fashion lover and as I discussed with Bravo TV's Stassi Schroeder of Vanderpump Rules, I am intent on keeping to a limited budget.",2014-12-10
45,STYLE,Orange Workout Gear That'll Legitimately Up Your Gym Game,Michelle Persad,https://www.huffingtonpost.com/entry/the-color-you-should-be-wearing-to-the-gym_us_55b92784e4b0224d8834fbe4,Orange you glad you knew this?,2015-07-30
46,POLITICS,"Wildfires In Northern California Kill 6 People, Destroy Nearly 1,600 Homes",,https://www.huffingtonpost.com/entry/california-wildfire_us_55ffdb81e4b00310edf79d6d,Ten active wildfires in Northern California continue to threaten a thousand more homes.,2015-09-21
47,POLITICS,ISIS and U.S.-Iran Relations,"S. Azmat Hassan, ContributorFormer ambassador for Pakistan to Syria, Morocco, Malaysia, fo...",https://www.huffingtonpost.com/entry/isis-and-usiran-relations_b_6071758.html,It is often said that politics makes for strange bedfellows. The truth of this aphorism has been illustrated by the ostensible warming of U.S. relations with Iran.,2014-10-30
48,POLITICS,Memo To Tillerson About The Moron,"Robert Reich, ContributorChancellor's Professor of Public Policy, University of Califor...",https://www.huffingtonpost.com/entry/memo-to-tillerson-about-the-moron_us_59d7def8e4b072637c43fbc9,"Instead of resigning, here's another option to consider.",2017-10-06
49,POLITICS,Is Someone Who Broke Ranks Appropriate as Party Leader on the Hill?,"Dr. Charles G. Cogan, ContributorAssociate, Belfer Center for Science and International Affairs...",https://www.huffingtonpost.com/entry/is-someone-who-broke-rank_b_8096894.html,"Senator Schumer stated that his was a very difficult decision, and one must respect his convictions. However, a number of Democratic leaders were disappointed by his action, which, due to his experience and influence, might have helped swing the vote the other way.",2015-09-07
50,STYLE,Modcloth's Latest Body-Positive Swim Shoot Is Its Best Yet,Jamie Feldman,https://www.huffingtonpost.com/entry/modcloth-swim-body-positivity_us_572120c8e4b01a5ebde45ab7,"This time, it got members of its community to strip down, too.",2016-04-28
51,POLITICS,Clinton vs. Sanders In Nevada: Urban vs. Rural,,https://www.huffingtonpost.comhttp://bigstory.ap.org/article/a65b221a10154f988d9fc2c27fffd4d3/clinton-vs-sanders-nevada-urban-vs-rural,"Seeking an edge, Hillary Clinton courted voters throughout Las Vegas' sprawling population centers on Friday while rival",2016-02-20
52,POLITICS,New TV Ad Thanks Trump For Ending War On Christmas That Never Existed,Sebastian Murdock,https://www.huffingtonpost.com/entry/new-tv-ad-thanks-trump-for-ending-war-on-christmas-that-never-existed_us_5a3ea0aae4b025f99e177d8b,Happy holidays!,2017-12-23
53,POLITICS,Donald Trump Just Told One Of His Most Brazen Lies Yet,Marina Fang,https://www.huffingtonpost.com/entry/donald-trump-popular-vote_us_583b4d6fe4b000af95ee8c14,Now he's trying to undermine Hillary Clinton's popular vote win.,2016-11-27
54,POLITICS,The Wars Come Home,"Tom Engelhardt, ContributorEditor, TomDispatch.com",https://www.huffingtonpost.com/entry/the-wars-come-home_us_59df898ee4b0fdad73b2aa14,"Unlike in the Vietnam era, the U.S. has been fighting its unsuccessful post-9/11 wars with barely a trace of an antiwar movement to show for it.",2017-10-12
55,POLITICS,"With One Bill, Republicans Fast Track Plan To Undo Obama Regulations","Lisa Lambert, Reuters",https://www.huffingtonpost.com/entry/with-one-bill-republicans-fast-track-plan-to-undo-obama-regulations_us_586dc6ffe4b0c56eb4b71764,Republicans continue to charge ahead on their campaign to strip down federal regulations.,2017-01-05
56,POLITICS,Bill Cole vs. Jim Justice: Nonpartisan Candidate Guide For 2016 West Virginia Governor’s Race,"Campus Election Engagement Project, ContributorNational nonpartisan project that helps America's colleges and...",https://www.huffingtonpost.com/entry/bill-cole-vs-jim-justice-nonpartisan-candidate-guide_us_5814f92ce4b08301d33e0a80,_______________ Are you looking for a nonpartisan voter guide for the Bill Cole vs. Jim Justice Governor’s race? One that,2016-10-29
57,POLITICS,Debbie Wasserman Schultz: The NRA Is 'Just Shy Of A Terrorist Organization',Nick Wing,https://www.huffingtonpost.com/entry/democrats-nra-president-oliver-north_us_5afafb36e4b044dfffb62da9,"The gun group has worked to ""perpetuate the culture of violence that we have in our country,"" the congresswoman said.",2018-05-15
58,POLITICS,Beer Companies Say Trump’s Aluminum Tariff Will Raise Prices And Hurt The Industry,Lydia O'Connor and Sebastian Murdock,https://www.huffingtonpost.com/entry/trump-aluminum-tax-beer_us_5a987d52e4b089ec35387a5f,Bad news for beer lovers.,2018-03-02
59,POLITICS,Special Counsel Hits Roger Stone's Social Media Advisor With Subpoenas,"Mark Hosenball, Reuters",https://www.huffingtonpost.com/entry/roger-stone-aide-subpoena-mueller-trump-russia-investigation_us_5afcd683e4b06a3fb50d7172,Stone is President Donald Trump's longtime friend and former campaign consultant.,2018-05-17
60,STYLE,These Inspiring Muslim Vloggers Are Changing Minds With Makeup,Jamie Feldman,https://www.huffingtonpost.com/entry/muslim-beauty-bloggers_us_58f8ae03e4b070a117507f65,"""Being able to engage with people as a human has the potential to broaden people’s minds.”",2017-04-20
61,POLITICS,"In Searing Interview, James Comey Unleashes Against 'Morally Unfit' Trump",Nick Visser,https://www.huffingtonpost.com/entry/comey-trump_us_5ad3fd37e4b0edca2cbaf7fa,"""I don't think he's medically unfit to be president. I think he's morally unfit to be president.""",2018-04-16
62,POLITICS,On Being Safe In America,"Susan K Smith, ContributorRev. Dr.",https://www.huffingtonpost.com/entry/on-being-safe-in-america_us_58b1850ce4b0658fc20f9599,So much for making America great again.,2017-02-25
63,POLITICS,HuffPost Rise: What You Need To Know On March 10,,https://www.huffingtonpost.com/entry/huffpost-rise-morning-newsbrief-mar-10_us_56e1280ee4b0b25c9180da47,"Welcome to the HuffPost Rise Morning Newsbrief, a short wrap-up of the news to help you start your day.",2016-03-10
64,STYLE,8 Holiday Beauty Hacks Every Woman Should Know,,https://www.huffingtonpost.com/entry/holiday-beauty-hacks-every-woman-should-know_n_6354534.html,,2014-12-20
65,POLITICS,Kick Donald Trump’s Circus Out Of Town,"Michael Winship, ContributorFormer senior writer, BillMoyers.com. President, Writers Guild...",https://www.huffingtonpost.com/entry/kick-donald-trumps-circus-out-of-town_us_5927a63ce4b065b396c06bcf,I’m increasingly convinced that the real reason Ringling Bros. has gone out of business is that when it comes to circuses,2017-05-26
66,POLITICS,Trump Jr. Met With Emissary For Gulf Princes Offering Help With Campaign In 2016: Report,,https://www.huffingtonpost.com/entry/trump-jr-2016-help-gulf-princes-emissary_us_5b0080c9e4b0a046186c8156,"The crown princes of the UAE and Saudi Arabia offered help to the Trump presidential campaign, the New York Times reports.",2018-05-19
67,POLITICS,Obama Gives A Shoutout To Equal Pay While Honoring The 2015 WNBA Champs,Madeline Diamond,https://www.huffingtonpost.com/entry/obama-minnesota-lynx-equal-pay_us_5772db42e4b0352fed3e30e1,"He acknowledged the players' inspiring work as role models, but added that “money is useful too.”",2016-06-28
68,STYLE,What Bon Appetit's Editor-In-Chief Learned From His Dad About Style,James Cave,https://www.huffingtonpost.com/entry/adam-rapoport-fashion-fathers-day_us_57618d61e4b05e4be860765b,Adam Rapoport's recipe for looking good.,2016-06-15
69,POLITICS,Harry Reid Is Doing Everything He Can To Get Under Donald Trump's Skin,Amanda Terkel,https://www.huffingtonpost.com/entry/harry-reid-donald-trump-tax-returns_us_57e292abe4b08d73b82e9aba,He won't stop bugging Trump to release his tax returns.,2016-09-21
70,POLITICS,Puerto Rico Governor Declares Emergency At Government Development Bank,,https://www.huffingtonpost.com/entry/puerto-rico-government-development-bank_us_57097076e4b0885fb50d4c2d,Puerto Rico's Governor Alejandro Garcia Padilla declared an emergency at the island's Government Development Bank (GDB) on,2016-04-09
71,STYLE,Rachel Roy Reveals Her Best Beauty Secrets To Into The Gloss,Karli Bendlin,https://www.huffingtonpost.com/entry/rachel-roy-hair_us_57729333e4b0dbb1bbbc002d,One of her top picks comes from the drugstore.,2016-06-28
72,POLITICS,The SCOTUS Fair Housing Act Decision a Welcome & Needed Win Following Racial Tragedy,"Jennifer Richeson, ContributorProfessor of Psychology & Faculty Fellow at the Institute for ...",https://www.huffingtonpost.com/entry/the-scotus-fair-housing-a_b_7689828.html,"It was in the wake of the murder of Martin Luther King, Jr. in April 1968 that President Lyndon Johnson signed into law a major pillar of U.S. civil rights legislation, the Fair Housing Act.",2015-06-30
73,POLITICS,Democratic Lawmakers Ask Trump How It Was Legal To Bomb Syria,Jennifer Bendery,https://www.huffingtonpost.com/entry/syria-military-action-trump-congress-authorization_us_5ad8eaa6e4b0e4d0715e8096,“We reiterate that your Administration must provide a legal basis for both the 2017 and 2018 strikes.”,2018-04-19
74,STYLE,"Chrissy Teigen Feels No Cold, Wears A Revealing Dress In The Dead Of Winter",Jamie Feldman,https://www.huffingtonpost.com/entry/chrissy-teigen-outfit-winter-formal_us_56a76d11e4b01a3ed123c465,Snow? What snow?,2016-01-26
75,POLITICS,Trump’s Trickle-Down Populism,"Robert Reich, ContributorChancellor's Professor of Public Policy, University of Califor...",https://www.huffingtonpost.com/entry/trumps-trickle-down-populism_us_5844686ee4b017f37fe53db8,It’s “trickle-down” economics dressed in populist garb.,2016-12-04
76,STYLE,The Eyes Have It On This Week's Beauty List,Dana Oliver,https://www.huffingtonpost.com/entry/shimmer-eyeshadows-best-beauty-list_n_5960734.html,,2014-10-12
77,POLITICS,Activists Say Betsy DeVos' Nomination Puts Kids' Civil Rights On The Line,Kate Abbey-Lambertz,https://www.huffingtonpost.com/entry/betsy-devos-civil-rights_us_587e8757e4b0cf0ae88089da,Trump's pick for Department of Education head faces questions about her experience at a confirmation hearing Tuesday.,2017-01-17
78,POLITICS,Help The Big Sky Fight The Big Lie - Vote For Rob Quist!,"Jon ""Bowzer"" Bauman, ContributorPresident, Social Security Works PAC",https://www.huffingtonpost.com/entry/help-the-big-sky-fight-the-big-lie-vote-for-rob-quist_us_5925b8d1e4b0ed5eed132421,"Growing up in New York City with my Roy Rogers wallpaper and Hopalong Cassidy bedspread, I dreamed one day I would see Montana",2017-05-24
79,STYLE,11 Essentials For Every Dressy Occasion,,https://www.huffingtonpost.comhttp://www.refinery29.com/formal-clothing?utm_source=huffpoststyle&utm_medium=syndication#slide,,2014-05-04
80,POLITICS,Rand Paul Gets Testy In Interview About His Shifting Positions: 'You're Editorializing',Igor Bobic,https://www.huffingtonpost.com/entry/rand-paul-interview_n_7024746.html,,2015-04-08
81,POLITICS,Hillary Clinton's Paid Speeches Were Totally At Odds With Her 2016 Platform,Zach Carter and Daniel Marans,https://www.huffingtonpost.com/entry/hillary-clinton-paid-speeches-austerity-trade_us_57f91902e4b0e655eab4c393,The Democratic nominee supported fiscal austerity and unfettered trade in remarks to bankers.,2016-10-08
82,STYLE,North West Shows Off Designs For The Upcoming Yeezy Kid's Line,Jamie Feldman,https://www.huffingtonpost.com/entry/kim-kanye-yeezy-kids-clothing_us_5891db84e4b0c90eff0117ac,It's a sparkly departure from Kanye's love of neutrals.,2017-02-01
83,POLITICS,Donald Trump Was Stunned Women On 'The Apprentice' Dominated Men,Sam Levine,https://www.huffingtonpost.com/entry/donald-trump-the-apprentice_us_5809152ce4b02444efa25974,"""Yet when the women were put with the men, they lost their dominance. I don’t know why. Maybe that’s a reflection of real life.”",2016-10-20
84,STYLE,9 Clothing Brands From Men's New York Fashion Week That Should Be On Your Radar,Julee Wilson,https://www.huffingtonpost.com/entry/tk-clothing-companies-we-discovered-at-mens-fashion-week_us_55ad21ade4b0caf721b34e64,Also on HuffPost:    Robert Geller Here's what you need to know about Geller: He filled his Spring 2016 collection with seaside,2015-07-21
85,POLITICS,Louisiana Just Expanded Medicaid. Now Obama Is Gunning For Other Holdouts.,Jonathan Cohn,https://www.huffingtonpost.com/entry/obamacare-medicaid-expansion_us_5697aa52e4b0778f46f83972,"He's got a good idea, but it requires action from the Republican Congress.",2016-01-14
86,POLITICS,GOP Doubts Grow About Rubio,,https://www.huffingtonpost.comhttp://thehill.com/homenews/campaign/269041-gop-doubts-grow-about-rubio,Congressional Republicans are re-evaluating Marco Rubio’s presidential campaign in the wake of his dismal showing in New,2016-02-11
87,POLITICS,Supreme Court Rules For Congress -- And Victims Of Iran-Sponsored Terrorism,Cristian Farias,https://www.huffingtonpost.com/entry/supreme-court-iran-terrorism_us_5717dacde4b0c9244a7ab2cc,The ruling means Iran's central bank must pay terror claims.,2016-04-20
88,POLITICS,Democrats Offer Up 'A Better Deal',"Chris Weigant, ContributorChris Weigant is a political commentator.",https://www.huffingtonpost.com/entry/democrats-offer-up-a-better-deal_us_5976906ce4b0c6616f7ce4ae,Consider today’s Democratic Party agenda rollout to be a good start.,2017-07-25
89,POLITICS,Donald Trump Says He Wants To Cut '70 To 80 Percent' Of Regulations,Dave Jamieson,https://www.huffingtonpost.com/entry/donald-trump-cutting-regulations_us_580e4277e4b000d0b157c424,But he loves clean air as much as the next guy.,2016-10-24
90,POLITICS,It Is Too Late For The GOP To Rid Itself Of The Trump Stench,Sam Stein,https://www.huffingtonpost.com/entry/donald-trump-hot-mic_us_57f85ea9e4b0b6a4303277b6,The hot mic moment is just the latest controversy. And Republicans now own it.,2016-10-08
91,POLITICS,Trump Withdraws White House Invite To NBA Champions,Lee Moran,https://www.huffingtonpost.com/entry/trump-white-house-nba-champions_us_59c65aede4b06ddf45f83bbb,"""Stephen Curry is hesitating, therefore invitation is withdrawn!""",2017-09-23
92,POLITICS,Chris Sununu vs. Colin Van Ostern: Nonpartisan Candidate Guide For 2016 New Hampshire Governor’s Race,"Campus Election Engagement Project, ContributorNational nonpartisan project that helps America's colleges and...",https://www.huffingtonpost.com/entry/chris-sununu-vs-colin-van-ostern-nonpartisan-candidate_us_580d304fe4b0b1bd89fdb4b3,Are you looking for a nonpartisan voter guide for the Chris Sununu vs. Colin Van Ostern Governor’s race? One that will give,2016-10-23
93,POLITICS,Donald Trump Shuffles Struggling Campaign Team,,https://www.huffingtonpost.comhttp://www.politico.com/story/2016/04/rick-wiley-donald-trump-campaign-221909,"Wounded GOP front-runner Donald Trump is quietly setting up a parallel campaign structure, hiring known Republican fixers",2016-04-14
94,POLITICS,Wounded Knee and the Moon of the Popping Trees,"Tim Giago, ContributorFounder, Native American Journalists Association",https://www.huffingtonpost.com/entry/wounded-knee-and-the-moon_b_8881564.html,"Twenty-three soldiers of the 7th Cavalry were awarded this Nation's highest honor, The Medal of Honor, for the murder of nearly 300 innocent and unarmed men, women and children.",2015-12-27
95,STYLE,Ryan Lochte Makes A Splash With His Shocking New Olympic Hair,Ron Dicker,https://www.huffingtonpost.com/entry/ryan-lochte-makes-a-splash-with-his-shocking-new-olympic-hair_us_57a06bc6e4b0e2e15eb70d64,It's a new hue!,2016-08-02
96,POLITICS,Trump's FCC Chair Backed Off Obama-Era Rule On Inmate Calls That Hurt An Ex-Client,Dana Liebelson,https://www.huffingtonpost.com/entry/trump-fcc-chairman-ex-client-inmate-calling_us_598e0f99e4b090964297093d,An inmate advocacy group publicized Ajit Pai's prior work this week.,2017-08-11
97,POLITICS,Donald Trump Formally Announces Indiana Gov. Mike Pence As VP Pick,Sam Levine,https://www.huffingtonpost.com/entry/donald-trump-mike-pence_us_5788ef88e4b08608d334239d,The official word came a day after media reports that Trump was choosing him.,2016-07-15
